"","words","value"
"920","ernsthaftigkeit",0.004
"921","ernüchternd",-0.0048
"922","ernüchterung",-0.0048
"923","erosion",-0.0666
"924","erpressen",-0.0048
"925","erpressung",-0.0048
"926","erreichen",0.004
"927","erschaffen",0.004
"928","erschießen",-0.3317
"929","erschlaffen",-0.0048
"930","erschlagen",-0.3442
"931","erschlossen",0.004
"932","erschöpfen",-0.0048
"933","erschöpft",-0.0377
"934","erschöpfung",-0.0595
"935","erschrecken",-0.1812
"936","erschreckend",-0.0544
"937","erschüttern",-0.0048
"938","erschütternd",-0.0472
"939","erschüttert",-0.0048
"940","erschütterung",-0.0048
"941","erschweren",-0.4891
"942","ersparnis",0.004
"943","ersprießlich",0.004
"944","erstaunen",0.004
"945","erstaunlich",0.004
"946","erstechen",-0.3078
"947","ersticken",-0.3291
"948","erstklassig",0.1967
"949","erstrangig",0.004
"950","erstrebenswert",0.0765
"951","ertrag",0.004
"952","ertragreich",0.004
"953","ertrinken",-0.0048
"954","erweitern",0.004
"955","erweitert",0.004
"956","erweiterung",0.004
"957","erwünscht",0.004
"958","erwürgen",-0.0048
"959","erzeugen",0.004
"960","erzeugnis",0.004
"961","erzielen",0.004
"962","erzürnt",-0.3221
"963","etabliert",0.004
"964","euphorisch",0.5505
"965","exakt",0.004
"966","existenzbedrohend",-0.0048
"967","exklusiv",0.004
"968","exorbitant",0.004
"969","exotisch",0.1944
"970","experte",0.004
"971","expertise",0.004
"972","explodieren",-0.0048
"973","explosion",-0.0048
"974","explosiv",0.004
"975","exponiert",0.004
"976","exquisit",0.004
"977","extravagant",0.004
"978","exzellent",0.4198
"979","exzellenz",0.004
"980","fabelhaft",0.1952
"981","fad",-0.0048
"982","fadenscheinig",-0.0048
"983","fähig",0.004
"984","fähigkeit",0.0892
"985","fahrlässig",-0.3487
"986","fahrlässigkeit",-0.0048
"987","fair",0.3281
"988","fairness",0.004
"989","fallen",-0.2153
"990","falsch",-0.7618
"991","fälschen",-0.0048
"992","fälschung",-0.3377
"993","famos",0.2018
"994","fantasievoll",0.004
"995","fantastisch",0.3319
"996","farblos",-0.0048
"997","farce",-0.3349
"998","faschist",-0.0048
"999","faschistisch",-0.4477
"1000","faszination",0.004
"1001","faszinieren",0.0663
"1002","faszinierend",0.3037
"1003","fatal",-0.345
"1004","faul",-0.035
"1005","faulheit",-0.611
"1006","favorisieren",0.004
"1007","favorit",0.004
"1008","fehde",-0.0048
"1009","fehlanzeige",-0.0048
